Agency,Year,Region,Current Year Jurisdiction total operating budget,Population,Total number of parks,Total number of non-park sites,Total number of FTEs
Nassau County Recreation Dep,2019,FL,1135787.0,85832.0,15,12,8
Nassau County Recreation Dep,2018,FL,1135787.0,85832.0,15,12,8
Pflugerville (City of),2019,TX,79308830.0,67000.0,33,0,50
Pflugerville (City of),2020,TX,79308830.0,67000.0,33,0,50
Pflugerville (City of),2021,TX,82717839.0,65380.0,48,0,51
Lenexa Parks and Recreation Department,2022,KS,87927012.0,58388.0,32,12,128
Lenexa Parks and Recreation Department,2020,KS,83400000.0,59294.0,32,12,123
Lenexa Parks and Recreation Department,2021,KS,78498468.0,57434.0,32,12,130
Lenexa Parks and Recreation Department,2019,KS,81543522.0,55294.0,32,12,123
Glynn County Recreation and Parks,2020,GA,71957000.0,85939.0,42,0,63
Glynn County Recreation and Parks,2021,GA,138116094.0,84499.0,43,0,64
Glynn County Recreation and Parks,2022,GA,177544835.0,85473.0,44,0,65
Glynn County Recreation and Parks,2019,GA,73135697.0,85282.0,42,0,62
Quincy (City of) Recreation Department,2020,MA,325000543.0,94470.0,52,6,76
Santa Monica (City of) Public Landscape Division,2019,CA,734000000.0,91411.0,28,24,
Lawton Parks and Recreation,2019,OK,99132616.0,92859.0,,,
Lawton Parks and Recreation,2020,OK,89544735.0,93025.0,,,
Robbers Cave State Park,2019,OK,2100000.0,69760.0,,,
Napa (City of) Parks and Recreation,2019,CA,4500000.0,77000.0,,,
Oldham County Parks and Recreation,2020,KY,,66799.0,6,,4
Bartlett (City of) Parks and Recreation,2020,TN,6259199.0,59500.0,29,5,130
Bartlett (City of) Parks and Recreation,2021,TN,88858628.0,57786.0,29,,117
Bartlett (City of) Parks and Recreation,2022,TN,88858628.0,57318.0,29,15,108
Town of Greenwich-Parks and Recreation,2020,CT,428880692.0,62396.0,,,
Avondale Parks and Recreation Department,2020,AZ,236699250.0,87931.0,,,21
Avondale Parks and Recreation Department,2021,AZ,163553500.0,87931.0,11,1,30
Avondale Parks and Recreation Department,2022,AZ,193527000.0,87917.0,12,1,37
Sunrise (City of) Leisure Services ,2020,FL,260368900.0,95166.0,16,9,134
Palm Coast (City of) Parks and Recreation ,2020,FL,202931919.0,89800.0,12,0,43
Mooresville Parks and Recreation,2021,NC,55000000.0,50193.0,17,4,67
Asheville (City of),2021,NC,134750000.0,92870.0,52,,134
Asheville (City of),2022,NC,134750000.0,92870.0,52,,134
Georgetown Co PandR,2022,SC,3655000.0,62680.0,,,33
Georgetown Co PandR,2020,SC,3696443.0,62000.0,34,,31
Chatham County Parks and Recreation,2020,NC,,74470.0,,,8
Chatham County Parks and Recreation,2022,NC,149838320.0,74470.0,5,2,12
Chatham County Parks and Recreation,2021,NC,,77156.0,8,,9
Parks Department/City of Hemet,2020,CA,39010334.0,85275.0,,,
Government of Bermuda - Department of Parks,2020,,9289128.0,67000.0,90,,314
"Fort Riley Directorate of Family and Morale, Welfare and Recreation Community Recreation Division",2020,KS,4673528.0,67662.0,3,19,83
RMWB,2020,AB,22000000.0,78832.0,,,
Minnetonka (City of) Parks and Recreation,2020,MN,65968509.0,53000.0,,,
Minnetonka (City of) Parks and Recreation,2021,MN,65968509.0,53000.0,,,
Scranton Parks and Recreation Department,2020,PA,,77000.0,,,
Camden County Parks and Recreation CPSA,2021,GA,34801344.0,54768.0,27,1,0
Elkhart (City of) Parks and Recreation,2022,IN,97000000.0,53000.0,,,
Elkhart (City of) Parks and Recreation,2021,IN,2200000.0,53000.0,,,
"Alliance Consulting Engineers, In",2022,SC,1776000.0,65403.0,18,5,15
"Alliance Consulting Engineers, In",2021,SC,1776000.0,65403.0,18,5,15
Ames (City of) Parks and Recreation Department,2021,IA,263520975.0,66427.0,38,,54
Vista (City of),2021,CA,94641492.0,98381.0,17,5,
Plantation Parks and Recreation,2020,FL,116905477.0,91969.0,42,0,118
Plantation Parks and Recreation,2023,FL,121874783.0,92706.0,42,0,127
Plantation Parks and Recreation,2022,FL,117783828.0,93790.0,42,0,127
Plantation Parks and Recreation,2021,FL,121877573.0,92986.0,42,0,121
Plantation Parks and Recreation,2017,FL,110253367.0,86782.0,42,0,126
Plantation Parks and Recreation,2019,FL,111153599.0,94711.0,42,0,125
Plantation Parks and Recreation,2018,FL,122038117.0,92706.0,43,,118
Coeur d'Alene (City of) Parks Department,2021,ID,103535755.0,56026.0,,,
Coeur d'Alene (City of) Parks Department,2022,ID,109700500.0,56026.0,32,35,29
Centerville-Washington Park District,2022,OH,4860728.0,61684.0,,,
RHAA,2022,CA,166109509.0,61271.0,,,
City of Hanford,2022,CA,4180908.0,58496.0,30,26,33
